grupo_linha,faixa,faixa_15,estacao_pico,carga_maxima,data,qtd_partidas
b5_ida,18,18:00–18:15,est_cid,118.655610824455,2025-10-06,2.0
b5_ida,18,18:15–18:30,est_cid,120.938722632465,2025-10-06,3.0
b5_ida,18,18:30–18:45,est_cid,95.0429435559619,2025-10-06,2.0
b5_ida,18,18:45–19:00,est_cid,55.8798423835334,2025-10-06,2.0
b5_ida,19,19:00–19:15,est_cid,51.4080459770115,2025-10-06,2.0
b5_ida,19,19:15–19:30,est_cid,40.7752012882448,2025-10-06,2.0
b5_ida,19,19:30–19:45,est_hip,40.3157894736842,2025-10-06,1.0
b5_ida,19,19:45–20:00,est_cid,24.7475961538462,2025-10-06,
b5_ida,20,20:00–20:30,est_cid,37.25,2025-10-06,2.0
b5_ida,20,20:30–21:00,est_cid,45.7407886231416,2025-10-06,1.0
b5_ida,21,21:00–21:30,est_cid,62.9901960784314,2025-10-06,2.0
b5_ida,21,21:30–22:00,est_hip,58.8664343786295,2025-10-06,1.0
b5_ida,22,22:00–22:30,est_hip,44.7705570291777,2025-10-06,2.0
b5_ida,22,22:30–23:00,est_hip,24.1666666666667,2025-10-06,1.0
b5_ida,23,23:00–23:30,est_hip,3.0,2025-10-06,1.0
b5_volta,5,05:00–05:15,est_cdj,90.1340257781434,2025-10-06,
b5_volta,5,05:15–05:30,est_cdj,80.5999403697078,2025-10-06,1.0
b5_volta,5,05:30–05:45,est_cdj,94.0063921752601,2025-10-06,2.0
b5_volta,5,05:45–06:00,est_cdj,108.158834834121,2025-10-06,1.0
b5_volta,6,06:00–06:15,est_cdj,109.938160145481,2025-10-06,1.0
b5_volta,6,06:15–06:30,est_cdj,127.142756316078,2025-10-06,1.0
b5_volta,6,06:30–06:45,est_cdj,134.112087259146,2025-10-06,2.0
b5_volta,6,06:45–07:00,est_cdj,182.805030046577,2025-10-06,2.0
b5_volta,7,07:00–07:15,est_cdj,177.1193634279,2025-10-06,2.0
b5_volta,7,07:15–07:30,est_cdj,212.387828488133,2025-10-06,2.0
b5_volta,7,07:30–07:45,est_cdj,184.880997832984,2025-10-06,1.0
b5_volta,7,07:45–08:00,est_cdj,164.274222416408,2025-10-06,2.0
b5_volta,8,08:00–08:15,est_cdj,176.983867413342,2025-10-06,2.0
b5_volta,8,08:15–08:30,est_cdj,124.237952732479,2025-10-06,1.0
b5_volta,8,08:30–08:45,est_cdj,140.679708678418,2025-10-06,2.0
b5_volta,8,08:45–09:00,est_cdj,81.2266591251885,2025-10-06,1.0
b5_volta,9,09:00–09:30,est_cdj,160.051555409164,2025-10-06,3.0
b5_volta,9,09:30–10:00,est_cdj,155.690891536515,2025-10-06,3.0
b5_volta,10,10:00–10:30,est_cdj,126.465677966102,2025-10-06,3.0
